timestamp,given_number,upper_bound,estimation,estimation_rt,stimulus_ts_on,stimulus_ts_off,size_control,posterior_mean,posterior_std,log_marginal_likelihood,constant_value,length_scale,Participant ID,Birthdate,Gender
2025-08-12 10:03:00,460,500,452.5,1.9570307731628418,1754960578.980767,1754960580.9377978,1,0.0,1.0,0.0,1.0,0.05000000000000001,25081210,1996-04-21,남성
2025-08-12 10:03:02,5,500,5.5,1.6109464168548584,1754960581.3343222,1754960582.9452686,0,452.5,0.004472135954999579,4.49094810900672,9.999999999999997e-06,9.999999999999997e-06,25081210,1996-04-21,남성
2025-08-12 10:03:05,10,500,7.5,1.442997932434082,1754960583.7181106,1754960585.1611085,1,229.13515331689032,223.49999776400418,-2.8378770664093453,0.000604712815210555,0.9993952671758782,25081210,1996-04-21,남성
2025-08-12 10:03:09,285,500,328.5,3.850245714187622,1754960586.1457176,1754960589.9959633,1,467.00784993851755,53.10929992054594,-0.27376205553121746,1.1410618051636705,9.999999999999997e-06,25081210,1996-04-21,남성
2025-08-12 10:03:13,145,500,152.0,2.2504656314849854,1754960590.9452324,1754960593.195698,1,452.97667186469573,11.565585001327022,-0.246783100391613,0.9739233726258135,9.999999999999997e-06,25081210,1996-04-21,남성
2025-08-12 10:03:16,500,500,423.0,1.969994306564331,1754960594.1993048,1754960596.1692991,0,457.3702481825082,4.8938893400089425,0.6820160014999477,1.5089371572482333,5.0675775437637914e-05,25081210,1996-04-21,남성
2025-08-12 10:03:18,370,500,397.0,1.4011411666870117,1754960597.192162,1754960598.5933032,0,457.93082733958147,7.0446457785507475,-0.27607952089232324,0.7088483806879918,9.999999999999997e-06,25081210,1996-04-21,남성
2025-08-12 10:03:21,140,500,89.5,1.5321574211120605,1754960599.645204,1754960601.1773615,1,436.47708441940887,15.437887437540828,-0.3865927376615135,1.460472865904392,0.004242189747406259,25081210,1996-04-21,남성
2025-08-12 10:03:24,500,500,457.0,1.4280595779418945,1754960602.597725,1754960604.0257845,0,437.3075084260156,28.191592468810185,-2.4062784832495225,1.1447707007481702,0.015479113092185226,25081210,1996-04-21,남성
2025-08-12 10:03:26,5,500,3.5,1.5234487056732178,1754960605.1662521,1754960606.6897008,1,444.2263009769147,26.39195799620927,-1.6526725673035951,1.1560032446688686,0.01426224659679684,25081210,1996-04-21,남성
2025-08-12 10:03:30,340,500,434.0,2.1359925270080566,1754960607.8766258,1754960610.0126183,1,444.2372705890781,24.170810353095348,-0.20576202500544483,1.050288319224426,0.011213291451456787,25081210,1996-04-21,남성
2025-08-12 10:03:32,160,500,359.5,1.046076774597168,1754960611.1150374,1754960612.1611142,0,449.30277867427606,28.68565433176087,-1.2656272630115684,1.0084103166800078,0.01641399412311051,25081210,1996-04-21,남성
2025-08-12 10:03:36,225,500,243.0,1.8798975944519043,1754960614.3620203,1754960616.2419178,0,471.8297803293543,179.9153636410571,-8.265496000014199,0.9763018104733701,0.006154277073662344,25081210,1996-04-21,남성
2025-08-12 10:03:38,75,500,118.5,1.4106667041778564,1754960617.3831854,1754960618.793852,0,470.9930605358746,167.51612094853581,-9.680341133590403,0.9094616313902695,0.006738943710795683,25081210,1996-04-21,남성
2025-08-12 10:03:41,500,500,414.0,1.2554497718811035,1754960619.9462855,1754960621.2017353,1,444.83420761865386,68.7493420320537,-10.411274859303779,1.9276120456253163,0.11917119508787617,25081210,1996-04-21,남성
2025-08-12 10:03:43,5,500,8.5,1.6407790184020996,1754960622.2808914,1754960623.9216704,0,437.54207988223436,65.01530852732375,-10.5857768793542,1.8565874486608072,0.11268184481425018,25081210,1996-04-21,남성
2025-08-12 10:03:47,415,500,414.0,2.2564663887023926,1754960624.9716942,1754960627.2281606,1,469.8327194429047,155.49259913853808,-8.986315994858002,0.922285541153142,0.006761138779856792,25081210,1996-04-21,남성
2025-08-12 10:03:49,255,500,320.0,1.2493326663970947,1754960628.3518214,1754960629.601154,0,480.5711903125199,97.91349875361753,-9.92458954092662,0.9290767692214024,0.00672454154511219,25081210,1996-04-21,남성
2025-08-12 10:03:52,500,500,456.5,1.6098277568817139,1754960630.7274761,1754960632.3373039,1,436.266552250378,57.54384918321185,-10.1936114874369,2.0397519129002335,0.09001759509721066,25081210,1996-04-21,남성
2025-08-12 10:03:55,5,500,5.5,1.6459949016571045,1754960633.443587,1754960635.089582,0,440.2706325526956,55.38868771509331,-9.959494211550224,2.149174702927129,0.08394283683763487,25081210,1996-04-21,남성
