timestamp,given_number,upper_bound,estimation,estimation_rt,stimulus_ts_on,stimulus_ts_off,size_control,posterior_mean,posterior_std,log_marginal_likelihood,constant_value,length_scale,Participant ID,Birthdate,Gender
2025-08-07 21:33:04,27,350,34.3,2.181180953979492,1754569982.4916623,1754569984.6728432,1,0.0,1.0,0.0,1.0,1.0,0101,0101-01-01,여성
2025-08-07 21:33:07,5,500,6.5,1.805542230606079,1754569985.1983721,1754569987.0039144,0,34.3,0.003162277660168379,4.837519199305442,9.999999999999997e-06,1.0,0101,0101-01-01,여성
2025-08-07 21:33:09,15,500,17.5,1.3599960803985596,1754569988.6121736,1754569989.9721696,1,22.2811604368008,13.899999999999999,-2.8378770664093453,1.0,1.0,0101,0101-01-01,여성
2025-08-07 21:33:13,155,500,109.5,2.5131537914276123,1754569991.4663236,1754569993.9794774,0,41.43268525621737,17.58028162541717,-3.7708681782183007,2.3651424378110555,20.24786670058848,0101,0101-01-01,여성
2025-08-07 21:33:16,500,500,490.0,1.4334611892700195,1754569995.4488962,1754569996.8823574,1,126.94707777012523,56.32612967770668,-1.9289172674592754,1.9596159279505807,64.64694462932127,0101,0101-01-01,여성
2025-08-07 21:33:20,340,500,388.5,1.759218454360962,1754569998.454687,1754570000.2139056,1,489.9999999699886,186.05160358321297,-0.7386618179528881,1.1964110789057025,98.16598277234942,0101,0101-01-01,여성
2025-08-07 21:33:24,260,500,235.5,3.031517267227173,1754570001.6938174,1754570004.7253346,0,506.2633006172162,82.8932845806923,-1.5995945661942272,0.9358293397341706,95.09955672455868,0101,0101-01-01,여성
2025-08-07 21:33:28,430,500,463.0,2.0666050910949707,1754570006.3146217,1754570008.3812268,1,495.11673693523653,61.95821163643037,-2.1931409916768985,0.9193703184677284,94.1290168015454,0101,0101-01-01,여성
2025-08-07 21:33:31,210,500,134.5,1.784360408782959,1754570009.754316,1754570011.5386765,0,490.53210990602577,9.687162288940268,-1.2371872045510859,0.7071477813139588,96.49025398341615,0101,0101-01-01,여성
2025-08-07 21:33:34,470,500,483.0,1.4409937858581543,1754570013.052757,1754570014.4937508,0,490.3825885750475,5.228627868586549,0.5041392031915155,0.8504574022418145,102.25422608725891,0101,0101-01-01,여성
2025-08-07 21:33:37,100,500,58.0,1.4288814067840576,1754570015.8995488,1754570017.3284302,0,489.9999997791149,1.4422230225833885,3.69860887557876,0.7516401442803582,104.22405750821076,0101,0101-01-01,여성
2025-08-07 21:33:40,380,500,364.0,1.3671791553497314,1754570018.9243495,1754570020.2915287,0,490.1474069820574,23.378875270419826,-3.46175155230239,0.6070139790871585,62.013707463998855,0101,0101-01-01,여성
2025-08-07 21:33:44,300,500,278.5,2.631073236465454,1754570021.8487923,1754570024.4798656,1,489.9999998540794,16.66078961585046,-5.010395616972945,0.7113324375117211,57.88462078278391,0101,0101-01-01,여성
2025-08-07 21:33:48,130,500,199.5,2.1290464401245117,1754570026.069797,1754570028.1988435,1,489.9999999261725,22.899741798206666,-8.212233115013184,0.6607137916365544,45.01394760467806,0101,0101-01-01,여성
2025-08-07 21:33:51,70,500,134.5,1.5036110877990723,1754570029.7834835,1754570031.2870946,1,492.4096915516583,35.79423447730087,-12.325543535640255,0.8340781687552365,36.688427915511475,0101,0101-01-01,여성
2025-08-07 21:33:54,185,500,155.0,1.8138067722320557,1754570032.9415698,1754570034.7553766,0,500.4385889699447,71.04199788390011,-15.09084871541555,0.7834976003486401,28.17395053529887,0101,0101-01-01,여성
2025-08-07 21:33:57,405,500,409.0,1.5721077919006348,1754570036.2862637,1754570037.8583715,0,503.3314864621724,75.48175573027379,-16.423797522120417,0.7779975332118048,26.101103149278366,0101,0101-01-01,여성
2025-08-07 21:34:01,235,500,301.0,1.7494173049926758,1754570039.4348788,1754570041.1842961,1,503.0748668894283,62.511951144287686,-16.361570779900525,0.731359618824836,26.483154784714593,0101,0101-01-01,여성
2025-08-07 21:34:05,320,500,292.0,2.340421199798584,1754570042.6825175,1754570045.0229387,0,506.6687838208434,59.99555657319345,-18.782352899318596,0.7770401425737805,23.776460812284338,0101,0101-01-01,여성
2025-08-07 21:34:07,450,500,420.0,1.3666682243347168,1754570046.4872015,1754570047.8538697,1,507.7770225813399,52.75947356061345,-19.68366206940988,0.7919158026940054,23.266986665943612,0101,0101-01-01,여성
